submitted_id	current_id	converted_id	current_symbol
FBgn0083936	FBgn0083936	FBgn0083936	Acp54A1
FBgn0262621	FBgn0262621	FBgn0262621	CG43145
FBgn0037650	FBgn0037650	FBgn0037650	CG11977
FBgn0033875	FBgn0033875	FBgn0033875	CG6357
FBgn0262571	FBgn0262571	FBgn0262571	CG43111
FBgn0262547	FBgn0262547	FBgn0262547	CG43101
FBgn0250835	FBgn0250835	FBgn0250835	CG15394
FBgn0003748	FBgn0003748	FBgn0003748	Treh
FBgn0028984	FBgn0028984	FBgn0028984	Spn88Ea
FBgn0029804	FBgn0029804	FBgn0029804	CG3097
FBgn0261853	FBgn0261853	FBgn0261853	CG42782
FBgn0035372	FBgn0035372	FBgn0035372	CG12093
FBgn0265267	FBgn0265267	FBgn0265267	CG18258
FBgn0266363	FBgn0266363	FBgn0266363	CG45011
FBgn0053290	FBgn0053290	FBgn0053290	CG33290
FBgn0259957	FBgn0259957	FBgn0259957	CG42467
FBgn0039599	FBgn0039599	FBgn0039599	intr
FBgn0033145	FBgn0033145	FBgn0033145	CG12828
FBgn0265785	FBgn0265785	FBgn0265785	CG44574
FBgn0083938	FBgn0083938	FBgn0083938	BG642163
FBgn0030222	FBgn0030222	FBgn0030222	CG9806
FBgn0052382	FBgn0052382	FBgn0052382	sphinx2
FBgn0026415	FBgn0026415	FBgn0026415	Idgf4
FBgn0038068	FBgn0038068	FBgn0038068	CG11600
FBgn0259961	FBgn0259961	FBgn0259961	CG42471
FBgn0030103	FBgn0030103	FBgn0030103	Obp8a
FBgn0262623	FBgn0262623	FBgn0262623	CG43147
FBgn0032774	FBgn0032774	FBgn0032774	CG17549
FBgn0038173	FBgn0038173	FBgn0038173	Adgf-C
FBgn0053121	FBgn0053121	FBgn0053121	Spn28Db
FBgn0030223	FBgn0030223	FBgn0030223	CG2111
FBgn0058160	FBgn0058160	FBgn0058160	CG40160
FBgn0050104	FBgn0050104	FBgn0050104	NT5E-2
FBgn0085324	FBgn0085324	FBgn0085324	CG34295
FBgn0031741	FBgn0031741	FBgn0031741	CG11034
FBgn0051413	FBgn0051413	FBgn0051413	Qsox4
FBgn0285925	FBgn0285925	FBgn0285925	Fas1
FBgn0035042	FBgn0035042	FBgn0035042	CG3640
FBgn0261568	FBgn0261568	FBgn0261568	CG42682
FBgn0085477	FBgn0085477	FBgn0085477	CG34448
FBgn0030589	FBgn0030589	FBgn0030589	CG9519
FBgn0262583	FBgn0262583	FBgn0262583	CG43123
FBgn0262359	FBgn0262359	FBgn0262359	CG43057
FBgn0033115	FBgn0033115	FBgn0033115	Spn42De
FBgn0262363	FBgn0262363	FBgn0262363	CG43061
FBgn0020414	FBgn0020414	FBgn0020414	Idgf3
FBgn0030545	FBgn0030545	FBgn0030545	CG11590
FBgn0001112	FBgn0001112	FBgn0001112	Gld
FBgn0033799	FBgn0033799	FBgn0033799	GLaz
FBgn0262999	FBgn0262999	FBgn0262999	CG43307
FBgn0051427	FBgn0051427	FBgn0051427	CR31427
