submitted_id	current_id	converted_id	current_symbol
FBgn0034415	FBgn0034415	FBgn0034415	CG15116
FBgn0038395	FBgn0038395	FBgn0038395	CG10407
FBgn0034153	FBgn0034153	FBgn0034153	Acp53C14b
FBgn0051704	FBgn0051704	FBgn0051704	CG31704
FBgn0015586	FBgn0015586	FBgn0015586	Acp76A
FBgn0053530	FBgn0053530	FBgn0053530	Acp53C14c
FBgn0028416	FBgn0028416	FBgn0028416	Met75Ca
FBgn0019948	FBgn0283509	FBgn0283509	Phm
FBgn0032367	FBgn0267327	FBgn0267327	Acp33A
FBgn0015583	FBgn0015583	FBgn0015583	Acp29AB
FBgn0035455	FBgn0035455	FBgn0035455	CG10862
FBgn0051418	FBgn0051418	FBgn0051418	CG31418
FBgn0032964	FBgn0032964	FBgn0032964	CG11630
FBgn0004181	FBgn0004181	FBgn0004181	Ebp
FBgn0042188	FBgn0250841	FBgn0250841	CG17242
FBgn0011559	FBgn0011559	FBgn0011559	Acp36DE
FBgn0051680	FBgn0051680	FBgn0051680	CG31680
FBgn0038919	FBgn0038919	FBgn0038919	Qsox2
FBgn0040092	FBgn0040092	FBgn0040092	lectin-46Cb
FBgn0004414	FBgn0004414	FBgn0004414	msopa
FBgn0032122	FBgn0032122	FBgn0032122	CG31883
FBgn0034417	FBgn0034417	FBgn0034417	CG15117
FBgn0051779	FBgn0051779	FBgn0051779	Acp24A4
FBgn0054002	FBgn0054002	FBgn0054002	CG34002
FBgn0034007	FBgn0034007	FBgn0034007	ND-51L2
FBgn0038069	FBgn0038069	FBgn0038069	CG11608
FBgn0043539	FBgn0043539	FBgn0043539	Obp22a
FBgn0034474	FBgn0034474	FBgn0034474	Obp56g
FBgn0050488	FBgn0050488	FBgn0050488	antr
FBgn0039540	FBgn0263025	FBgn0263025	HSPBAP1
FBgn0039540	FBgn0263024	FBgn0263024	CG43319
FBgn0051872	FBgn0051872	FBgn0051872	CG31872
FBgn0034162	FBgn0034162	FBgn0034162	CG6426
FBgn0052833	FBgn0052833	FBgn0052833	CG32833
FBgn0034512	FBgn0034512	FBgn0034512	CG18067
FBgn0043533	FBgn0043533	FBgn0043533	Obp56f
FBgn0015585	FBgn0015585	FBgn0015585	Acp63F
FBgn0039521	FBgn0039521	FBgn0039521	CG5402
FBgn0033572	FBgn0033572	FBgn0033572	polyph
FBgn0032834	FBgn0032834	FBgn0032834	CG13965
FBgn0011669	FBgn0011669	FBgn0011669	Mst57Db
FBgn0024211	FBgn0260745	FBgn0260745	mfas
FBgn0053126	FBgn0053126	FBgn0053126	NLaz
FBgn0040097	FBgn0040097	FBgn0040097	lectin-30A
FBgn0043530	FBgn0043530	FBgn0043530	Obp51a
FBgn0039568	FBgn0039568	FBgn0039568	CG4815
FBgn0043532	FBgn0043532	FBgn0043532	Obp56i
FBgn0051659	FBgn0051659	FBgn0051659	CG31659
FBgn0039598	FBgn0039598	FBgn0039598	aqrs
FBgn0041621	FBgn0041621	FBgn0041621	Or82a
FBgn0038198	FBgn0038198	FBgn0038198	Npc2b
FBgn0033868	FBgn0033868	FBgn0033868	S-Lap7
FBgn0031617	FBgn0031617	FBgn0031617	CG15635
FBgn0040098	FBgn0040098	FBgn0040098	lectin-29Ca
FBgn0015584	FBgn0015584	FBgn0015584	Acp53Ea
FBgn0032275	FBgn0265264	FBgn0265264	CG17097
FBgn0022770	FBgn0022770	FBgn0022770	Peritrophin-A
FBgn0083966	FBgn0083966	FBgn0083966	CG34130
FBgn0003034	FBgn0003034	FBgn0003034	SP
FBgn0003862	FBgn0003862	FBgn0003862	trx
FBgn0083141	FBgn0083141	FBgn0083141	Spn28B
FBgn0036110	FBgn0036110	FBgn0036110	Cpr67Fb
FBgn0037889	FBgn0037889	FBgn0037889	scpr-A
FBgn0069354	FBgn0069354	FBgn0069354	Porin2
FBgn0004629	FBgn0004629	FBgn0004629	Cys
FBgn0038067	FBgn0038067	FBgn0038067	CG11598
FBgn0034152	FBgn0034152	FBgn0034152	Acp53C14a
FBgn0003889	FBgn0003889	FBgn0003889	betaTub85D
FBgn0085464	FBgn0085464	FBgn0085464	CG34435
FBgn0040093	FBgn0040093	FBgn0040093	lectin-46Ca
FBgn0054034	FBgn0054034	FBgn0054034	CG34034
FBgn0037038	FBgn0037038	FBgn0037038	CG11037
FBgn0036091	FBgn0036091	FBgn0036091	CG18628
FBgn0000094	FBgn0000094	FBgn0000094	Anp
FBgn0033167	FBgn0033167	FBgn0033167	CG1701
FBgn0004780	FBgn0004780	FBgn0004780	Ccp84Ad
